Rank,Name,Team,Games,TGTS,REC,PCT,YDS,TD,LNG,YT,YR,RUSH_ATT,RUSH_YDS,RUSH_AVG,RUSH_TD,RUSH_FUM,RUSH_LST,PPG,FPTS
113,Robbie Chosen,ARI,16,44,20,45.5,282,1,75,6.4,14.1,0,0,0,0,1,1,3.3,52.2
114,Damiere Byrd,ATL,14,23,13,56.5,268,2,75,11.7,20.6,0,0,0,0,0,0,3.7,51.8
115,Phillip Dorsett,HOU,15,40,20,50,257,1,34,6.4,12.8,0,0,0,0,0,0,3.4,51.7
116,Wan'Dale Robinson,NYG,6,31,23,74.2,227,1,19,7.3,9.9,2,-1,-0.5,0,0,0,8.6,51.6
117,Michael Thomas,NO,3,22,16,72.7,171,3,21,7.8,10.7,0,0,0,0,0,0,17,51.1
118,Brandon Powell,LAR,17,32,24,75,156,0,16,4.9,6.5,17,80,4.7,0,1,0,2.8,47.6
119,Sammy Watkins,BAL,12,27,16,59.3,325,0,55,12,20.3,0,0,0,0,1,1,3.9,46.5
120,David Bell,CLE,16,35,24,68.6,214,0,20,6.1,8.9,0,0,0,0,0,0,2.8,45.4
121,Skyy Moore,KC,16,33,22,66.7,250,0,30,7.6,11.4,3,24,8,0,3,3,2.7,43.4
122,Ashton Dulin,IND,12,22,15,68.2,207,1,39,9.4,13.8,2,8,4,0,0,0,3.5,42.5
123,Scott Miller,TB,15,40,23,57.5,185,0,23,4.6,8,1,8,8,0,0,0,2.8,42.3
124,KhaDarel Hodge,ATL,17,20,13,65,202,1,39,10.1,15.5,0,0,0,0,0,0,2.4,41.2
125,Amari Rodgers,HOU,16,25,16,64,204,1,37,8.2,12.8,2,7,3.5,0,6,2,2.4,39.1
126,Marquez Callaway,NO,14,32,16,50,158,1,33,4.9,9.9,0,0,0,0,0,0,2.7,37.8
127,Zach Pascal,PHI,17,19,15,78.9,150,1,34,7.9,10,1,0,0,0,0,0,2.1,36
128,Byron Pringle,CHI,11,16,10,62.5,135,2,35,8.4,13.5,0,0,0,0,0,0,3.2,35.5
129,Sterling Shepard,NYG,3,24,13,54.2,154,1,65,6.4,11.8,0,0,0,0,0,0,11.5,34.4
130,Khalil Shakir,BUF,14,20,10,50,161,1,31,8,16.1,0,0,0,0,0,0,2.4,34.1
131,Velus Jones Jr.,CHI,12,14,7,50,107,1,44,7.6,15.3,9,103,11.4,1,4,3,2.8,34
